ClassName	CodeNumb
LINC02609	1197
LINC02609;LINC02788	1198
LINC02609;LINC01763	1199
LINC01763	1200
PHKA1P1	1201
ZNF644	1202
RPL5P6	1203
HFM1	1204
CDC7	1205
WDR82P2	1206
HSP90B3P	1207
TGFBR3	1208
BRDT	1209
EPHX4	1210
LPCAT2BP	1211
SETSIP	1212
BTBD8	1213
BTBD8;GAPDHP46	1214
C1orf146	1215
GLMN	1216
RPAP2	1217
RN7SL824P	1218
GFI1	1219
EVI5	1220
EVI5;CCNJP2	1221
RPL5	1222
RPL5;DIPK1A	1223
DIPK1A	1224
RN7SL692P	1225
RN7SKP123	1226
MTF2	1227
TMED5	1228
CCDC18	1229
DR1	1230
FNBP1L	1231
BCAR3	1232
DNTTIP2	1233
GCLM	1234
CHCHD2P5	1235
MTCO2P21	1236
MTCO1P21	1237
ABCA4	1238
ARHGAP29	1239
GAPDHP29	1240
ABCD3	1241
F3	1242
KATNBL1P2	1243
MIR378G	1244
SLC44A3	1245
CNN3	1246
ALG14	1247
TLCD4	1248
RWDD3	1249
LINC01760	1250
LINC01650	1251
LINC01761	1252
LINC02607	1253
LINC02790	1254
LINC01787	1255
UBE2WP1	1256
EEF1A1P11	1257
RN7SL831P	1258
NDUFS5P2	1259
RPL7P9	1260
RN7SKP270	1261
PTBP2	1262
DPYD	1263
DPYD;MIR137HG	1264
MIR137HG	1265
NFU1P2	1266
LINC01776	1267
SNX7	1268
PLPPR5	1269
PLPPR4	1270
LINC01708	1271
PALMD	1272
HMGB3P10	1273
FRRS1	1274
AGL	1275
SLC35A3	1276
MFSD14A	1277
SASS6	1278
TRMT13	1279
LRRC39	1280
DBT	1281
RTCA	1282
CDC14A	1283
CDC14A;BCAS2P2	1284
GPR88	1285
RPL7AP17	1286
LINC01349	1287
VCAM1	1288
EXTL2	1289
SLC30A7	1290
DPH5	1291
S1PR1	1292
PPIAP7	1293
LINC01307	1294
LINC01709	1295
LINC01709;RPSAP19	1296
OLFM3	1297
COL11A1	1298
RN7SKP285	1299
RNPC3	1300
RNPC3;AMY2B	1301
AMY2B	1302
AMY2B;ACTG1P4	1303
AMY2A	1304
AMY1A	1305
AMY1B	1306
AMYP1	1307
AMY1C	1308
FTLP17	1309
CDK4P1	1310
LINC01676	1311
SEPTIN2P1	1312
LINC01677	1313
MTATP6P14	1314
MTCO1P14	1315
LINC01661	1316
PRMT6	1317
NTNG1	1318
NDUFA4P1	1319
VAV3	1320
LINC02785	1321
SLC25A24	1322
NBPF4	1323
SLC25A24P1	1324
NBPF5P	1325
NBPF5P;SLC25A24P2	1326
SLC25A24P2	1327
NBPF6	1328
ST13P21	1329
FAM102B	1330
HENMT1	1331
PRPF38B	1332
